Train 145 {from: Kyiv; to: Wien; depart: 20-06-1916 17:09:00; arrive: 22-06-1916 19:09:00}
Train 612 {from: Essen; to: Paris; depart: 28-01-1916 13:40:00; arrive: 31-01-1916 19:40:00}
Train 613 {from: Lisboa; to: Essen; depart: 28-01-1915 13:49:00; arrive: 02-02-1915 22:49:00}
Train 614 {from: Berlin; to: Roma; depart: 05-02-1915 21:12:00; arrive: 07-02-1915 01:12:00}
Train 615 {from: Kharkov; to: Paris; depart: 11-03-1915 03:09:00; arrive: 20-03-1915 11:09:00}
Train 616 {from: Madrid; to: Paris; depart: 03-02-1916 16:03:00; arrive: 05-02-1916 23:03:00}
Train 617 {from: Madrid; to: Berlin; depart: 23-06-1915 08:05:00; arrive: 28-06-1915 08:05:00}
Train 618 {from: Zurich; to: Roma; depart: 16-08-1915 21:50:00; arrive: 17-08-1915 04:50:00}
Train 619 {from: Buguresti; to: Kyiv; depart: 23-07-1915 05:36:00; arrive: 23-07-1915 10:36:00}
Train 620 {from: Warszawa; to: Petrograd; depart: 25-02-1916 19:11:00; arrive: 28-02-1916 22:11:00}
Train 621 {from: Vilno; to: Venezia; depart: 16-05-1916 16:12:00; arrive: 20-05-1916 17:12:00}
Train 622 {from: Petrograd; to: Essen; depart: 12-01-1915 01:36:00; arrive: 18-01-1915 03:36:00}
Train 623 {from: Moskva; to: Zgrab; depart: 08-04-1916 05:04:00; arrive: 13-04-1916 07:04:00}
Train 624 {from: Venezia; to: Sevastopol; depart: 06-02-1915 11:27:00; arrive: 11-02-1915 13:27:00}
Train 625 {from: Brindisi; to: Barcelona; depart: 20-02-1915 20:24:00; arrive: 23-02-1915 23:24:00}
Train 626 {from: Kharkov; to: Sarajevo; depart: 13-04-1915 10:38:00; arrive: 17-04-1915 10:38:00}
Train 627 {from: Sevastopol; to: Brindisi; depart: 11-03-1916 15:21:00; arrive: 18-03-1916 00:21:00}
Train 628 {from: Essen; to: Pamplona; depart: 28-08-1915 22:44:00; arrive: 02-09-1915 00:44:00}
Train 629 {from: Marseille; to: Constantinopole; depart: 05-11-1915 21:57:00; arrive: 12-11-1915 21:57:00}
Train 630 {from: Frankfurt; to: Roma; depart: 03-03-1915 17:59:00; arrive: 04-03-1915 17:59:00}
Train 631 {from: Lisboa; to: Frankfurt; depart: 20-01-1916 20:36:00; arrive: 26-01-1916 01:36:00}
Train 632 {from: Sarajevo; to: Lisboa; depart: 05-07-1915 08:39:00; arrive: 12-07-1915 11:39:00}
Train 633 {from: Roma; to: Erzurum; depart: 13-07-1916 22:10:00; arrive: 20-07-1916 01:10:00}
Train 634 {from: Essen; to: Erzurum; depart: 29-03-1915 17:40:00; arrive: 03-04-1915 23:40:00}
Train 635 {from: Erzurum; to: Vilno; depart: 26-05-1915 06:12:00; arrive: 28-05-1915 12:12:00}
Train 636 {from: Ancora; to: Berlin; depart: 15-03-1915 17:48:00; arrive: 19-03-1915 00:48:00}
Train 637 {from: Constantinopole; to: Rostov; depart: 28-07-1916 10:23:00; arrive: 29-07-1916 15:23:00}
Train 638 {from: Sevastopol; to: Constantinopole; depart: 16-09-1915 05:20:00; arrive: 16-09-1915 06:20:00}
Train 639 {from: Kyiv; to: Zgrab; depart: 26-03-1915 22:23:00; arrive: 28-03-1915 22:23:00}
Train 640 {from: Marseille; to: Munchen; depart: 02-12-1915 08:40:00; arrive: 02-12-1915 11:40:00}
Train 641 {from: Pamplona; to: Paris; depart: 27-02-1915 04:33:00; arrive: 28-02-1915 08:33:00}
Train 642 {from: Zgrab; to: London; depart: 07-08-1916 03:43:00; arrive: 12-08-1916 05:43:00}
Train 643 {from: Amsterdam; to: Pamplona; depart: 11-12-1915 15:24:00; arrive: 11-12-1915 19:24:00}
Train 644 {from: Venezia; to: Kharkov; depart: 18-08-1915 21:28:00; arrive: 25-08-1915 01:28:00}
Train 645 {from: Amsterdam; to: Buguresti; depart: 13-01-1916 03:09:00; arrive: 20-01-1916 08:09:00}
Train 646 {from: London; to: Pamplona; depart: 13-02-1915 14:35:00; arrive: 13-02-1915 14:35:00}
Train 647 {from: Ancora; to: Brindisi; depart: 26-02-1915 06:28:00; arrive: 03-03-1915 15:28:00}
Train 648 {from: Vilno; to: Sevastopol; depart: 22-03-1916 00:12:00; arrive: 23-03-1916 03:12:00}
Train 649 {from: Brindisi; to: Madrid; depart: 30-04-1915 06:46:00; arrive: 03-05-1915 06:46:00}
Train 650 {from: Vilno; to: Riga; depart: 30-06-1916 00:47:00; arrive: 30-06-1916 05:47:00}
Train 651 {from: Warszawa; to: Amsterdam; depart: 24-11-1915 12:29:00; arrive: 30-11-1915 14:29:00}
Train 652 {from: Athina; to: Paris; depart: 07-06-1916 16:18:00; arrive: 09-06-1916 00:18:00}
Train 653 {from: Constantinopole; to: Zurich; depart: 10-11-1915 04:03:00; arrive: 15-11-1915 05:03:00}
Train 654 {from: Madrid; to: Munchen; depart: 17-07-1916 21:15:00; arrive: 20-07-1916 03:15:00}
Train 655 {from: Brindisi; to: Wien; depart: 01-07-1916 21:38:00; arrive: 04-07-1916 00:38:00}
Train 656 {from: London; to: Berlin; depart: 10-05-1915 10:45:00; arrive: 14-05-1915 19:45:00}
Train 657 {from: Essen; to: Paris; depart: 22-03-1916 01:30:00; arrive: 25-03-1916 04:30:00}
Train 658 {from: Madrid; to: London; depart: 31-10-1915 21:37:00; arrive: 02-11-1915 05:37:00}
Train 659 {from: Frankfurt; to: Berlin; depart: 31-12-1915 22:57:00; arrive: 01-01-1916 07:57:00}
Train 660 {from: Kyiv; to: Danzig; depart: 18-03-1915 05:52:00; arrive: 19-03-1915 12:52:00}
Train 661 {from: Erzurum; to: Marseille; depart: 04-08-1916 18:09:00; arrive: 11-08-1916 19:09:00}
Train 662 {from: Amsterdam; to: Vilno; depart: 07-03-1915 11:00:00; arrive: 14-03-1915 12:00:00}
Train 663 {from: Kyiv; to: Warszawa; depart: 13-12-1915 10:24:00; arrive: 14-12-1915 16:24:00}
Train 664 {from: Frankfurt; to: Madrid; depart: 17-03-1916 16:25:00; arrive: 22-03-1916 19:25:00}
Train 665 {from: Ancora; to: Pamplona; depart: 21-06-1915 01:52:00; arrive: 29-06-1915 07:52:00}
Train 666 {from: Riga; to: Amsterdam; depart: 18-02-1915 04:05:00; arrive: 24-02-1915 05:05:00}
Train 667 {from: Moskva; to: Essen; depart: 21-05-1916 01:22:00; arrive: 27-05-1916 04:22:00}
Train 668 {from: Wien; to: Munchen; depart: 29-04-1916 11:18:00; arrive: 02-05-1916 12:18:00}
Train 669 {from: Paris; to: Buguresti; depart: 12-04-1916 22:12:00; arrive: 20-04-1916 07:12:00}
Train 670 {from: Frankfurt; to: Petrograd; depart: 13-01-1916 20:01:00; arrive: 20-01-1916 01:01:00}
Train 671 {from: Budapest; to: Athina; depart: 14-01-1916 09:23:00; arrive: 18-01-1916 18:23:00}
Train 672 {from: Athina; to: Sevastopol; depart: 04-08-1915 21:55:00; arrive: 12-08-1915 00:55:00}
Train 673 {from: Warszawa; to: Madrid; depart: 18-03-1915 07:24:00; arrive: 25-03-1915 09:24:00}
Train 674 {from: Amsterdam; to: Moskva; depart: 22-10-1915 13:50:00; arrive: 01-11-1915 18:50:00}
Train 675 {from: Palermo; to: Frankfurt; depart: 10-04-1916 00:40:00; arrive: 11-04-1916 07:40:00}
Train 676 {from: Ancora; to: Munchen; depart: 01-07-1916 08:31:00; arrive: 08-07-1916 10:31:00}
Train 677 {from: Brindisi; to: Madrid; depart: 31-01-1915 06:55:00; arrive: 03-02-1915 15:55:00}
Train 678 {from: Zgrab; to: Kyiv; depart: 26-04-1915 14:34:00; arrive: 28-04-1915 16:34:00}
Train 679 {from: Zurich; to: Athina; depart: 05-01-1916 03:01:00; arrive: 06-01-1916 11:01:00}
Train 680 {from: Frankfurt; to: Sarajevo; depart: 21-05-1915 00:19:00; arrive: 22-05-1915 09:19:00}
Train 681 {from: Roma; to: Sevastopol; depart: 15-11-1915 05:28:00; arrive: 21-11-1915 14:28:00}
Train 682 {from: Kharkov; to: Petrograd; depart: 01-08-1915 03:19:00; arrive: 01-08-1915 12:19:00}
Train 683 {from: Kyiv; to: Berlin; depart: 18-01-1916 22:46:00; arrive: 21-01-1916 22:46:00}
Train 684 {from: Zgrab; to: Roma; depart: 02-10-1915 22:27:00; arrive: 05-10-1915 06:27:00}
Train 685 {from: Kyiv; to: Venezia; depart: 14-10-1915 02:39:00; arrive: 18-10-1915 06:39:00}
Train 686 {from: Roma; to: Erzurum; depart: 15-09-1915 09:54:00; arrive: 21-09-1915 12:54:00}
Train 687 {from: Riga; to: Rostov; depart: 13-03-1916 21:52:00; arrive: 15-03-1916 22:52:00}
Train 688 {from: Warszawa; to: Essen; depart: 05-02-1915 15:50:00; arrive: 07-02-1915 23:50:00}
Train 689 {from: Ancora; to: Sevastopol; depart: 02-01-1916 14:06:00; arrive: 02-01-1916 16:06:00}
Train 690 {from: Bruxelles; to: Budapest; depart: 15-06-1916 01:29:00; arrive: 20-06-1916 01:29:00}
Train 691 {from: Amsterdam; to: Lisboa; depart: 28-09-1915 10:53:00; arrive: 29-09-1915 14:53:00}
Train 692 {from: Frankfurt; to: Brindisi; depart: 05-06-1915 12:13:00; arrive: 06-06-1915 21:13:00}
Train 693 {from: Sarajevo; to: Kyiv; depart: 29-09-1915 08:05:00; arrive: 01-10-1915 17:05:00}
Train 694 {from: Roma; to: Athina; depart: 22-01-1915 11:25:00; arrive: 23-01-1915 16:25:00}
Train 695 {from: Munchen; to: Essen; depart: 29-05-1916 12:07:00; arrive: 01-06-1916 16:07:00}
Train 696 {from: Frankfurt; to: Danzig; depart: 14-04-1916 08:17:00; arrive: 16-04-1916 17:17:00}
Train 697 {from: Petrograd; to: Zgrab; depart: 07-06-1916 19:02:00; arrive: 12-06-1916 20:02:00}
Train 698 {from: Ancora; to: Madrid; depart: 18-07-1916 04:29:00; arrive: 27-07-1916 06:29:00}
Train 699 {from: Berlin; to: Petrograd; depart: 10-01-1916 00:14:00; arrive: 15-01-1916 01:14:00}
Train 700 {from: Pamplona; to: Wien; depart: 07-08-1916 02:50:00; arrive: 12-08-1916 02:50:00}
Train 701 {from: Sevastopol; to: Riga; depart: 21-09-1915 10:07:00; arrive: 23-09-1915 12:07:00}
Train 702 {from: Madrid; to: Danzig; depart: 11-07-1915 06:02:00; arrive: 18-07-1915 13:02:00}
Train 703 {from: Bruxelles; to: Athina; depart: 09-06-1915 18:22:00; arrive: 10-06-1915 23:22:00}
Train 704 {from: Amsterdam; to: Petrograd; depart: 06-12-1915 19:09:00; arrive: 16-12-1915 19:09:00}
Train 705 {from: Constantinopole; to: Barcelona; depart: 17-08-1916 20:32:00; arrive: 27-08-1916 00:32:00}
Train 706 {from: Paris; to: Marseille; depart: 23-08-1916 02:05:00; arrive: 23-08-1916 02:05:00}
Train 707 {from: Petrograd; to: Lisboa; depart: 24-05-1916 03:23:00; arrive: 04-06-1916 03:23:00}
Train 708 {from: Palermo; to: Paris; depart: 10-10-1915 16:19:00; arrive: 11-10-1915 23:19:00}
Train 709 {from: Sevastopol; to: Paris; depart: 02-09-1915 07:38:00; arrive: 10-09-1915 13:38:00}
Train 710 {from: Sevastopol; to: Erzurum; depart: 19-04-1916 20:46:00; arrive: 19-04-1916 21:46:00}
Train 711 {from: Zurich; to: Venezia; depart: 07-07-1916 11:18:00; arrive: 07-07-1916 11:18:00}
Train 712 {from: Petrograd; to: Warszawa; depart: 03-07-1915 05:12:00; arrive: 06-07-1915 07:12:00}
Train 713 {from: Bruxelles; to: Riga; depart: 12-01-1916 07:55:00; arrive: 18-01-1916 08:55:00}
Train 714 {from: Budapest; to: Warszawa; depart: 26-03-1916 18:23:00; arrive: 26-03-1916 22:23:00}
Train 715 {from: Vilno; to: Erzurum; depart: 26-05-1916 00:18:00; arrive: 28-05-1916 04:18:00}
Train 716 {from: Constantinopole; to: Roma; depart: 14-06-1916 17:26:00; arrive: 19-06-1916 20:26:00}
Train 717 {from: Brindisi; to: Bruxelles; depart: 20-04-1916 14:36:00; arrive: 22-04-1916 20:36:00}
Train 718 {from: Roma; to: Paris; depart: 10-12-1915 07:05:00; arrive: 12-12-1915 10:05:00}
Train 719 {from: Brindisi; to: Kyiv; depart: 14-11-1915 15:04:00; arrive: 19-11-1915 22:04:00}
Train 720 {from: Petrograd; to: Kyiv; depart: 19-01-1915 03:21:00; arrive: 21-01-1915 05:21:00}
Train 721 {from: Pamplona; to: Petrograd; depart: 24-08-1915 07:02:00; arrive: 03-09-1915 14:02:00}
Train 722 {from: Marseille; to: Essen; depart: 09-04-1915 13:00:00; arrive: 11-04-1915 19:00:00}
Train 723 {from: Zurich; to: Venezia; depart: 11-05-1915 09:20:00; arrive: 11-05-1915 09:20:00}
Train 724 {from: Constantinopole; to: Rostov; depart: 07-06-1916 12:29:00; arrive: 08-06-1916 12:29:00}
Train 725 {from: Moskva; to: Kharkov; depart: 12-05-1916 22:06:00; arrive: 12-05-1916 23:06:00}
Train 726 {from: Madrid; to: Bruxelles; depart: 24-01-1915 16:03:00; arrive: 25-01-1915 17:03:00}
Train 727 {from: Bruxelles; to: Rostov; depart: 08-04-1915 02:50:00; arrive: 17-04-1915 02:50:00}
Train 728 {from: London; to: Petrograd; depart: 18-12-1915 05:43:00; arrive: 28-12-1915 09:43:00}
Train 729 {from: Roma; to: London; depart: 18-06-1915 07:10:00; arrive: 21-06-1915 15:10:00}
Train 730 {from: Athina; to: Lisboa; depart: 04-11-1915 11:14:00; arrive: 07-11-1915 13:14:00}
Train 731 {from: Roma; to: Wien; depart: 03-04-1915 18:58:00; arrive: 06-04-1915 00:58:00}
Train 732 {from: Ancora; to: Madrid; depart: 14-05-1915 21:44:00; arrive: 24-05-1915 06:44:00}
Train 733 {from: Lisboa; to: Rostov; depart: 24-01-1916 08:54:00; arrive: 04-02-1916 11:54:00}
Train 734 {from: Kyiv; to: Frankfurt; depart: 05-04-1916 02:55:00; arrive: 08-04-1916 10:55:00}
Train 735 {from: Vilno; to: London; depart: 08-07-1916 16:33:00; arrive: 15-07-1916 16:33:00}
Train 736 {from: Buguresti; to: Rostov; depart: 28-04-1915 08:01:00; arrive: 29-04-1915 10:01:00}
Train 737 {from: Lisboa; to: Wien; depart: 23-06-1915 19:13:00; arrive: 30-06-1915 04:13:00}
Train 738 {from: Pamplona; to: Madrid; depart: 04-08-1916 09:21:00; arrive: 04-08-1916 09:21:00}
Train 739 {from: Buguresti; to: Frankfurt; depart: 07-08-1915 03:10:00; arrive: 11-08-1915 08:10:00}
Train 740 {from: Riga; to: Athina; depart: 05-12-1915 07:34:00; arrive: 10-12-1915 15:34:00}
Train 741 {from: Buguresti; to: Athina; depart: 03-05-1915 09:54:00; arrive: 09-05-1915 15:54:00}
Train 742 {from: Erzurum; to: Wien; depart: 15-04-1915 19:53:00; arrive: 19-04-1915 23:53:00}
Train 743 {from: Danzig; to: Budapest; depart: 07-05-1915 21:26:00; arrive: 08-05-1915 04:26:00}
Train 744 {from: Athina; to: Constantinopole; depart: 22-04-1915 02:16:00; arrive: 28-04-1915 11:16:00}
Train 745 {from: Brindisi; to: Warszawa; depart: 27-01-1916 20:28:00; arrive: 01-02-1916 01:28:00}
Train 746 {from: Constantinopole; to: Wien; depart: 22-06-1916 17:04:00; arrive: 25-06-1916 18:04:00}
Train 747 {from: Berlin; to: Madrid; depart: 29-05-1916 17:05:00; arrive: 04-06-1916 00:05:00}
Train 748 {from: Amsterdam; to: Sarajevo; depart: 20-10-1915 10:28:00; arrive: 25-10-1915 14:28:00}
Train 749 {from: Essen; to: Madrid; depart: 12-07-1915 03:18:00; arrive: 17-07-1915 10:18:00}
Train 750 {from: London; to: Essen; depart: 04-01-1915 07:13:00; arrive: 08-01-1915 11:13:00}
Train 751 {from: Sarajevo; to: Wien; depart: 18-04-1915 07:04:00; arrive: 18-04-1915 14:04:00}
Train 752 {from: Zurich; to: Sarajevo; depart: 03-07-1915 14:25:00; arrive: 05-07-1915 14:25:00}
Train 753 {from: London; to: Palermo; depart: 28-01-1915 17:12:00; arrive: 30-01-1915 22:12:00}
Train 754 {from: Roma; to: Zgrab; depart: 04-10-1915 07:16:00; arrive: 06-10-1915 14:16:00}
Train 755 {from: Wien; to: Paris; depart: 18-01-1915 12:54:00; arrive: 22-01-1915 14:54:00}
Train 756 {from: Vilno; to: Kharkov; depart: 11-03-1916 03:59:00; arrive: 13-03-1916 05:59:00}
Train 757 {from: Essen; to: Munchen; depart: 09-07-1916 00:57:00; arrive: 12-07-1916 08:57:00}
Train 758 {from: Zgrab; to: Buguresti; depart: 16-10-1915 17:40:00; arrive: 19-10-1915 02:40:00}
Train 759 {from: Frankfurt; to: Marseille; depart: 04-07-1916 19:47:00; arrive: 06-07-1916 20:47:00}
Train 760 {from: Athina; to: Bruxelles; depart: 01-01-1916 17:07:00; arrive: 02-01-1916 20:07:00}
Train 761 {from: Lisboa; to: Frankfurt; depart: 08-08-1916 05:51:00; arrive: 13-08-1916 12:51:00}
Train 762 {from: Moskva; to: Vilno; depart: 02-08-1915 05:34:00; arrive: 05-08-1915 12:34:00}
Train 763 {from: Wien; to: Rostov; depart: 18-03-1915 13:32:00; arrive: 22-03-1915 14:32:00}
Train 764 {from: London; to: Lisboa; depart: 17-03-1915 11:01:00; arrive: 18-03-1915 14:01:00}
Train 765 {from: Marseille; to: Munchen; depart: 04-05-1916 02:07:00; arrive: 04-05-1916 02:07:00}
Train 766 {from: Constantinopole; to: Ancora; depart: 17-04-1916 00:05:00; arrive: 17-04-1916 07:05:00}
Train 767 {from: Warszawa; to: Amsterdam; depart: 07-06-1916 03:06:00; arrive: 13-06-1916 04:06:00}
Train 768 {from: Buguresti; to: Barcelona; depart: 05-04-1916 18:55:00; arrive: 14-04-1916 00:55:00}
Train 769 {from: Zgrab; to: Lisboa; depart: 30-05-1916 07:15:00; arrive: 05-06-1916 15:15:00}
Train 770 {from: Bruxelles; to: Warszawa; depart: 18-02-1916 13:33:00; arrive: 24-02-1916 13:33:00}
Train 771 {from: Riga; to: Warszawa; depart: 19-01-1915 17:51:00; arrive: 20-01-1915 01:51:00}
Train 772 {from: Budapest; to: London; depart: 17-07-1916 00:11:00; arrive: 23-07-1916 06:11:00}
Train 773 {from: Amsterdam; to: Buguresti; depart: 19-05-1916 11:15:00; arrive: 26-05-1916 13:15:00}
Train 774 {from: Ancora; to: Essen; depart: 22-04-1916 12:12:00; arrive: 26-04-1916 16:12:00}
Train 775 {from: Rostov; to: Marseille; depart: 19-11-1915 09:29:00; arrive: 27-11-1915 13:29:00}
Train 776 {from: Venezia; to: Athina; depart: 13-11-1915 14:05:00; arrive: 14-11-1915 22:05:00}
Train 777 {from: Athina; to: Constantinopole; depart: 02-11-1915 04:01:00; arrive: 08-11-1915 12:01:00}
Train 778 {from: Sevastopol; to: Zurich; depart: 26-01-1916 12:28:00; arrive: 31-01-1916 17:28:00}
Train 779 {from: Buguresti; to: Amsterdam; depart: 13-07-1916 10:03:00; arrive: 20-07-1916 11:03:00}
Train 780 {from: Athina; to: Sevastopol; depart: 26-06-1916 19:51:00; arrive: 03-07-1916 23:51:00}
Train 781 {from: Athina; to: London; depart: 27-07-1916 14:42:00; arrive: 29-07-1916 18:42:00}
Train 782 {from: Marseille; to: Lisboa; depart: 03-07-1915 00:48:00; arrive: 06-07-1915 02:48:00}
Train 783 {from: Zgrab; to: Barcelona; depart: 29-09-1915 19:35:00; arrive: 05-10-1915 20:35:00}
Train 784 {from: Buguresti; to: Zurich; depart: 12-07-1915 14:04:00; arrive: 16-07-1915 23:04:00}
Train 785 {from: Danzig; to: Madrid; depart: 25-01-1915 15:51:00; arrive: 01-02-1915 16:51:00}
Train 786 {from: Lisboa; to: Brindisi; depart: 22-06-1916 05:03:00; arrive: 26-06-1916 09:03:00}
Train 787 {from: Munchen; to: London; depart: 26-10-1915 04:39:00; arrive: 27-10-1915 06:39:00}
Train 788 {from: Frankfurt; to: Riga; depart: 17-06-1916 06:15:00; arrive: 20-06-1916 10:15:00}
Train 789 {from: Danzig; to: Budapest; depart: 27-07-1916 22:24:00; arrive: 27-07-1916 22:24:00}
Train 790 {from: Berlin; to: Budapest; depart: 17-03-1916 22:25:00; arrive: 18-03-1916 22:25:00}
Train 791 {from: Petrograd; to: Zgrab; depart: 13-08-1915 11:16:00; arrive: 18-08-1915 13:16:00}
Train 792 {from: Riga; to: Marseille; depart: 26-05-1915 17:22:00; arrive: 01-06-1915 00:22:00}
Train 793 {from: Vilno; to: Ancora; depart: 02-02-1916 10:57:00; arrive: 03-02-1916 11:57:00}
Train 794 {from: Ancora; to: Zurich; depart: 08-03-1915 01:07:00; arrive: 12-03-1915 08:07:00}
Train 795 {from: Wien; to: Petrograd; depart: 01-06-1915 08:34:00; arrive: 06-06-1915 09:34:00}
Train 796 {from: Marseille; to: Buguresti; depart: 16-03-1915 10:23:00; arrive: 22-03-1915 17:23:00}
Train 797 {from: Athina; to: Barcelona; depart: 24-06-1915 16:41:00; arrive: 26-06-1915 21:41:00}
Train 798 {from: Kyiv; to: Lisboa; depart: 13-04-1916 16:18:00; arrive: 22-04-1916 22:18:00}
Train 799 {from: Essen; to: Wien; depart: 20-11-1915 02:50:00; arrive: 20-11-1915 02:50:00}
Train 800 {from: Buguresti; to: London; depart: 20-01-1916 10:26:00; arrive: 28-01-1916 19:26:00}
Train 801 {from: Danzig; to: Budapest; depart: 03-08-1915 17:34:00; arrive: 03-08-1915 21:34:00}
Train 802 {from: Berlin; to: Riga; depart: 01-05-1915 06:44:00; arrive: 03-05-1915 06:44:00}
Train 803 {from: Buguresti; to: Brindisi; depart: 21-04-1916 10:16:00; arrive: 26-04-1916 17:16:00}
Train 804 {from: Pamplona; to: Zurich; depart: 04-04-1915 21:34:00; arrive: 08-04-1915 21:34:00}
Train 805 {from: Bruxelles; to: Ancora; depart: 15-05-1915 02:29:00; arrive: 22-05-1915 05:29:00}
Train 806 {from: Frankfurt; to: Athina; depart: 22-08-1915 10:20:00; arrive: 24-08-1915 13:20:00}
Train 807 {from: Munchen; to: Frankfurt; depart: 21-04-1916 05:55:00; arrive: 23-04-1916 13:55:00}
Train 808 {from: Pamplona; to: Munchen; depart: 08-04-1916 08:37:00; arrive: 09-04-1916 14:37:00}
Train 809 {from: Vilno; to: Madrid; depart: 02-02-1915 21:48:00; arrive: 10-02-1915 23:48:00}
Train 810 {from: Wien; to: London; depart: 13-10-1915 13:41:00; arrive: 18-10-1915 16:41:00}
Train 811 {from: Munchen; to: Bruxelles; depart: 01-02-1915 08:05:00; arrive: 01-02-1915 09:05:00}
Train 812 {from: Constantinopole; to: Vilno; depart: 05-05-1916 20:20:00; arrive: 07-05-1916 04:20:00}
Train 813 {from: Riga; to: Buguresti; depart: 16-07-1916 15:30:00; arrive: 17-07-1916 20:30:00}
Train 814 {from: Palermo; to: Wien; depart: 01-08-1916 18:48:00; arrive: 03-08-1916 21:48:00}
Train 815 {from: Palermo; to: Lisboa; depart: 26-03-1916 22:21:00; arrive: 30-03-1916 07:21:00}
Train 816 {from: Budapest; to: Kharkov; depart: 03-07-1915 19:45:00; arrive: 07-07-1915 19:45:00}
Train 817 {from: Riga; to: Paris; depart: 07-09-1915 05:18:00; arrive: 13-09-1915 08:18:00}
Train 818 {from: Berlin; to: Venezia; depart: 22-06-1916 14:15:00; arrive: 23-06-1916 23:15:00}
Train 819 {from: Venezia; to: Wien; depart: 07-06-1915 05:27:00; arrive: 08-06-1915 13:27:00}
Train 820 {from: Paris; to: Petrograd; depart: 24-10-1915 20:53:00; arrive: 03-11-1915 04:53:00}
Train 821 {from: Munchen; to: Frankfurt; depart: 08-05-1915 06:49:00; arrive: 10-05-1915 10:49:00}
Train 822 {from: Warszawa; to: Danzig; depart: 03-05-1916 23:59:00; arrive: 04-05-1916 00:59:00}
Train 823 {from: Essen; to: Constantinopole; depart: 05-01-1916 06:16:00; arrive: 09-01-1916 15:16:00}
Train 824 {from: Vilno; to: Riga; depart: 12-06-1915 16:22:00; arrive: 12-06-1915 23:22:00}
Train 825 {from: Roma; to: Moskva; depart: 24-02-1915 11:40:00; arrive: 03-03-1915 19:40:00}
Train 826 {from: Buguresti; to: Brindisi; depart: 18-10-1915 17:44:00; arrive: 24-10-1915 01:44:00}
Train 827 {from: Amsterdam; to: Marseille; depart: 11-10-1915 18:35:00; arrive: 12-10-1915 23:35:00}
Train 828 {from: Wien; to: Zgrab; depart: 24-03-1915 15:56:00; arrive: 25-03-1915 00:56:00}
Train 829 {from: Constantinopole; to: Palermo; depart: 15-07-1915 02:40:00; arrive: 21-07-1915 02:40:00}
Train 830 {from: Petrograd; to: Athina; depart: 01-12-1915 07:04:00; arrive: 09-12-1915 08:04:00}
Train 831 {from: Budapest; to: London; depart: 20-06-1916 16:50:00; arrive: 26-06-1916 17:50:00}
Train 832 {from: Marseille; to: Wien; depart: 02-01-1915 19:53:00; arrive: 06-01-1915 03:53:00}
Train 833 {from: Buguresti; to: Sarajevo; depart: 21-03-1916 06:39:00; arrive: 23-03-1916 10:39:00}
Train 834 {from: Marseille; to: Bruxelles; depart: 24-02-1915 10:16:00; arrive: 25-02-1915 19:16:00}
Train 835 {from: Sevastopol; to: Berlin; depart: 04-06-1916 01:39:00; arrive: 08-06-1916 09:39:00}
Train 836 {from: Paris; to: Zurich; depart: 10-01-1915 15:19:00; arrive: 12-01-1915 23:19:00}
Train 837 {from: Kharkov; to: Bruxelles; depart: 21-11-1915 03:25:00; arrive: 30-11-1915 10:25:00}
Train 838 {from: Ancora; to: Berlin; depart: 16-06-1916 07:03:00; arrive: 19-06-1916 11:03:00}
Train 839 {from: Erzurum; to: Riga; depart: 24-06-1916 08:57:00; arrive: 26-06-1916 14:57:00}
Train 840 {from: Budapest; to: Vilno; depart: 25-12-1915 13:54:00; arrive: 26-12-1915 13:54:00}
Train 841 {from: Budapest; to: Petrograd; depart: 23-06-1916 00:11:00; arrive: 27-06-1916 00:11:00}
Train 842 {from: Palermo; to: Vilno; depart: 11-01-1916 16:26:00; arrive: 17-01-1916 01:26:00}
Train 843 {from: Venezia; to: Paris; depart: 17-11-1915 10:21:00; arrive: 19-11-1915 16:21:00}
Train 844 {from: Danzig; to: Athina; depart: 16-11-1915 01:00:00; arrive: 20-11-1915 04:00:00}
Train 845 {from: Frankfurt; to: Amsterdam; depart: 11-06-1916 09:56:00; arrive: 14-06-1916 17:56:00}
Train 846 {from: Constantinopole; to: Berlin; depart: 21-05-1915 19:59:00; arrive: 26-05-1915 01:59:00}
Train 847 {from: Madrid; to: Rostov; depart: 14-07-1915 02:26:00; arrive: 24-07-1915 11:26:00}
Train 848 {from: Venezia; to: Kharkov; depart: 27-03-1916 15:36:00; arrive: 02-04-1916 18:36:00}
Train 849 {from: Madrid; to: Pamplona; depart: 05-04-1915 10:19:00; arrive: 05-04-1915 12:19:00}
Train 850 {from: Munchen; to: Kharkov; depart: 27-02-1916 15:11:00; arrive: 06-03-1916 16:11:00}
Train 851 {from: Wien; to: Munchen; depart: 24-09-1915 22:18:00; arrive: 28-09-1915 00:18:00}
Train 852 {from: Munchen; to: Bruxelles; depart: 23-12-1915 12:01:00; arrive: 23-12-1915 18:01:00}
Train 853 {from: Moskva; to: Frankfurt; depart: 23-09-1915 22:47:00; arrive: 30-09-1915 05:47:00}
Train 854 {from: Amsterdam; to: Kyiv; depart: 11-05-1916 09:13:00; arrive: 18-05-1916 15:13:00}
Train 855 {from: Constantinopole; to: Moskva; depart: 24-03-1916 10:35:00; arrive: 26-03-1916 17:35:00}
Train 856 {from: Pamplona; to: Venezia; depart: 19-12-1915 14:05:00; arrive: 22-12-1915 21:05:00}
Train 857 {from: Erzurum; to: Amsterdam; depart: 09-03-1915 08:53:00; arrive: 18-03-1915 16:53:00}
